top_level,file_count,total_bytes,py_files,csv_files,md_files
03_PLAYBOOKS,783154,7495503355,36,25,35437
app factory,461444,4752565227,14,2,18973
07_LANDING,29328,923056020,1,0,904
ralph,12203,148207194,4,15,884
MONEY_METHODS,11622,387708904,3,8,336
AUTOMATIONS,2348,1866657395,185,146,1306
LEDGER,2149,76087399,1,1968,152
output,1110,214712665,0,76,66
OPS,791,8298905,1,25,730
04_CONTENT,733,2172338,0,1,668
05_AUTOMATION,721,107554699,144,17,304
builds,636,7200801,1,0,0
PRODUCTS,125,1974740,1,0,122
06_OPERATIONS,86,1059321,0,2,83
CONTENT,78,1567128,0,8,69
scripts,77,6324128,36,0,8
.claude,63,439029,0,0,54
02_TRACKING,59,1956544,1,39,19
logs,54,1515597,0,0,0
(root),50,2366109,2,3,18
cal ai,40,14158289,0,0,0
10_RESEARCH,31,268992,0,0,29
AUDIT,29,205382148,0,4,24
DIGITAL_PRODUCTS,25,464474,1,0,19
09_LEGAL,24,235213,0,0,24
RESEARCH,19,587815,0,0,19
EMAIL,16,74121,0,0,8
01_STRATEGY,10,303332,0,0,10
.ralph,8,61366,1,4,2
FINANCIALS,8,14031,0,7,1
08_PRODUCTS,6,48670,0,0,6
MASTER_DOC,6,1355333,0,0,5
tasks,5,26077,0,0,5
.guardrails,4,5307,0,0,0
PRINTMAXX Terminal.app,3,103518,0,0,0
SECRETS,3,11689,0,0,1
.expo,2,1011,0,0,1
clips,1,139,0,1,0
