text,scheduled_date
"DOI: Appraisal Service for TRACT 109C, located in Liber
Due Feb 17
SB set-aside
#GovContracts #FedBiz",2026-02-13 09:00
"DOE: CONTRACT AWARD DE-NA0003525 TO THE NATIONAL TECHNOLOGY&ENGINEERING SOLUTIONS OF SAND...
$39.6B | Due Apr 30 | NM
#GovContracts #FedBiz",2026-02-13 13:00
"VA: TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER -...
$1.3B | Due May 18 | NJ
#GovContracts #FedBiz",2026-02-13 17:00
"GSA: THE SCOPE OF THE TO IS TO PROVIDE ENTERPRISE IT SERVICES FOR THE USACE.
$1.1B | Due Jun 27 | VA
#GovContracts #FedBiz",2026-02-14 09:00
"GSA: DCSA ONE IT TASK ORDER
$316.9M | Due Mar 01 | VA
#GovContracts #FedBiz",2026-02-14 13:00
"USDA: Sam Houston Trail Hardening MUT, Lake Loop Section
Due Feb 23 | TX
SB set-aside
#GovContracts #FedBiz",2026-02-14 17:00
"DOE: THIS PERFORMANCE-BASED MANAGEMENT CONTRACT (PBMC) IS FOR THE MANAGEMENT AND OPERAT...
$39.1B | Due Sep 30 | CA
#GovContracts #FedBiz",2026-02-15 09:00
"DOE: THIS PERFORMANCE-BASED MANAGEMENT CONTRACT (PBMC) IS FOR THE MANAGEMENT AND OPERATION...
$19.0B | Due May 31 | CA
#GovContracts #FedBiz",2026-02-15 13:00
"DOE: OPERATION OF LAWRENCE LIVERMORE LABORATORY
$18.0B | Closed Sep 30 | CA
#GovContracts #FedBiz",2026-02-15 17:00
"DOE: MANAGEMENT AND OPERATING CONTRACT FOR THE OPERATION OF THE PRINCETON PLASMA PHYSICS...
$2.1B | Due Mar 31 | NJ
#GovContracts #FedBiz",2026-02-16 09:00
"DOE: THE PURPOSE OF THIS ACTION IS TO AWARD THE ICP TEN YEAR PLAN HYBRID TASK ORDER UNDER...
$1.3B | Due Sep 30 | ID
#GovContracts #FedBiz",2026-02-16 13:00
"VA: EXPRESS REPORT: DECEMBER 2025
$1.1B | Closed Dec 31 | VA
#GovContracts #FedBiz",2026-02-16 17:00
"GSA: COMMUNICATION AND INFORMATION TECHNOLOGY SERVICES III
$674.9M | Closed May 31
#GovContracts #FedBiz",2026-02-17 09:00
"GSA: HOMELAND ENTERPRISE INFORMATION TECHNOLOGY SECURE SERVICES AND SUPPORT (HEITS) TASK...
$269.3M | Due Dec 31 | DC
#GovContracts #FedBiz",2026-02-17 13:00
"HHS: CHAMBLEE CAMPUS BLDG 108 PHASE II
$221.1M | Due Feb 28 | GA
#GovContracts #FedBiz",2026-02-17 17:00
"GSA: GUARD ENTERPRISE CYBER OPERATIONS SUPPORT ORIGINAL AWARD.
$201.8M | Due Jul 28 | VA
#GovContracts #FedBiz",2026-02-18 09:00
"Department of the Trea...: IT - SERVICENOW
$182.4M | Due Dec 15 | DC
#GovContracts #FedBiz",2026-02-18 13:00
"GSA: CONTINUOUS DIAGNOSTICS AND MITIGATION CDM DATA SERVICES
$128.8M | Due Sep 17 | VA
#GovContracts #FedBiz",2026-02-18 17:00
"GSA: E-GOV TRAVEL SERVICE, NEXT GENERATION (ETSNEXT) TRAVEL AND EXPENSE (T&E) TECHNOLOGY...
$117.3M | Due Nov 25 | MD
#GovContracts #FedBiz",2026-02-19 09:00
"Department of Commerce: PATENT TECHNICAL SERVICES COMPETITION FOR A CONTRACT AWARD OF A BASE PERIOD AND 4...
$114.4M | Due Sep 29 | VA
#GovContracts #FedBiz",2026-02-19 13:00
"State Dept: THE CONTRACTOR IS PROVIDE HIGH-QUALITY VISA OPERATIONS SUPPORT AND LIMITED VISA...
$110.8M | Due Mar 10 | MD
#GovContracts #FedBiz",2026-02-19 17:00
"DOE: MANAGEMENT AND OPERATION OF THE OAK RIDGE NATIONAL LABORATORY
$40.5B | Due Mar 31 | TN
#GovContracts #FedBiz",2026-02-20 09:00
"DOE: MANAGEMENT AND OPERATING CONTRACT FOR Y-12 NATIONAL SECURITY COMPLEX, PANTEX PLANT, ...
$32.2B | Due Sep 30 | TN
#GovContracts #FedBiz",2026-02-20 13:00
"DOE: IGF::CL::IGF COMPETITION FOR MANAGEMENT AND OPERATION OF LOS ALAMOS NATIONAL LABORATORY
$31.8B | Due Oct 31 | NM
#GovContracts #FedBiz",2026-02-20 17:00
"DOE: MANAGEMENT AND OPERATING CONTRACT FOR THE SAVANNAH RIVER SITE.
$25.1B | Due Sep 30 | SC
#GovContracts #FedBiz",2026-02-21 09:00
"National Science Found...: SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM
$3.1B | Due Sep 30
#GovContracts #FedBiz",2026-02-21 13:00
"DOE: CONTRACT 89233224CNA000004 FOR THE MANAGEMENT AND OPERATION OF THE PANTEX PLANT
$2.4B | Due Nov 14 | TX
#GovContracts #FedBiz",2026-02-21 17:00
"DOE: MANAGEMENT AND OPERATION OF THE STRATEGIC PETROLEUM RESERVE FACILITIES.
$2.0B | Closed Dec 31 | LA
#GovContracts #FedBiz",2026-02-22 09:00
