original_handle,original_tweet_id,original_url,content_text,media_path,engagement_score,viral_score,suggested_caption,repurpose_type,status,scheduled_time
@LocalBateman,1535610044779315202,https://x.com/LocalBateman/status/1535610044779315202,,,681555L 74136RT 0V,55,no way,MEDIA_REPOST,PENDING,
@LocalBateman,2024076678507737283,https://x.com/LocalBateman/status/2024076678507737283,,,1901L 85RT 10814V,25,no way,MEDIA_REPOST,PENDING,
@LocalBateman,2024046479569268982,https://x.com/LocalBateman/status/2024046479569268982,,,703L 59RT 13196V,10,wild,MEDIA_REPOST,PENDING,
@LocalBateman,2024001180662460580,https://x.com/LocalBateman/status/2024001180662460580,,,446L 32RT 5882V,15,no way,MEDIA_REPOST,PENDING,
@LocalBateman,2023955882447683855,https://x.com/LocalBateman/status/2023955882447683855,,,1566L 72RT 17237V,20,insane,MEDIA_REPOST,PENDING,
@LocalBateman,2023940783649493063,https://x.com/LocalBateman/status/2023940783649493063,,,4758L 159RT 34540V,25,thoughts?,MEDIA_REPOST,PENDING,
@LocalBateman,2023850186137641381,https://x.com/LocalBateman/status/2023850186137641381,,,2315L 141RT 16509V,25,no way,MEDIA_REPOST,PENDING,
@ShitpostReels,2023321466310189163,https://x.com/ShitpostReels/status/2023321466310189163,,,588L 48RT 66431V,0,thoughts?,MEDIA_REPOST,PENDING,
@ShitpostReels,2023291252561854883,https://x.com/ShitpostReels/status/2023291252561854883,,,3068L 288RT 14020V,25,this is crazy,MEDIA_REPOST,PENDING,
@ShitpostReels,2023283704143937965,https://x.com/ShitpostReels/status/2023283704143937965,,,257L 31RT 4409V,10,this is crazy,MEDIA_REPOST,PENDING,
@videosinfolder,2010879614650900745,https://x.com/videosinfolder/status/2010879614650900745,,,86127L 9059RT 3941767V,60,insane,REPLY_BAIT,PENDING,
@videosinfolder,2023940590442795193,https://x.com/videosinfolder/status/2023940590442795193,,,1389L 134RT 24912V,15,thoughts?,REPLY_BAIT,PENDING,
@videosinfolder,2023925569897869554,https://x.com/videosinfolder/status/2023925569897869554,,,19086L 998RT 340718V,35,thoughts?,MEDIA_REPOST,PENDING,
@videosinfolder,2023819946833084753,https://x.com/videosinfolder/status/2023819946833084753,,,1108L 154RT 20830V,15,no way,MEDIA_REPOST,PENDING,
@videosinfolder,2023805038854906092,https://x.com/videosinfolder/status/2023805038854906092,,,296L 26RT 5968V,10,insane,MEDIA_REPOST,PENDING,
@videosinfolder,2023744379681124789,https://x.com/videosinfolder/status/2023744379681124789,,,1512L 72RT 30115V,15,no way,MEDIA_REPOST,PENDING,
@videosinfolder,2023699037975679064,https://x.com/videosinfolder/status/2023699037975679064,,,4802L 616RT 93244V,20,no way,MEDIA_REPOST,PENDING,
@InternetH0F,2024061355632795721,https://x.com/InternetH0F/status/2024061355632795721,,,2593L 58RT 43177V,15,wild,MEDIA_REPOST,PENDING,
