timestamp,policy_version,local_ready,local_models,openrouter_ready,anthropic_ready,openai_ready,low_risk_route,high_risk_route,notes
2026-02-15 02:11:02,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active
2026-02-15 02:11:07,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active
2026-02-15 02:14:30,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,none:none,budget-first routing active
2026-02-15 02:14:46,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active
2026-02-15 02:15:39,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active
2026-02-15 02:16:52,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active
2026-02-15 02:21:14,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 02:29:31,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 02:30:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 02:43:17,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 02:45:51,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 02:48:44,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 03:00:01,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 03:30:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 03:43:13,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 03:47:39,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 04:00:01,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 04:06:42,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 04:30:02,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 04:53:22,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 04:55:04,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 04:58:59,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 05:00:02,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 05:12:35,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 05:30:05,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 08:44:33,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 09:00:01,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 09:30:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 10:00:01,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 10:30:01,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 10:48:44,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 10:56:29,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 11:00:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 11:20:20,2026-02-15,no,,no,no,no,none:none,none:none,budget-first routing active node_role=control
2026-02-15 11:29:24,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 11:33:40,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 11:45:07,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 11:51:56,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 12:00:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
2026-02-15 12:30:00,2026-02-15,yes,mistral:instruct|qwen-gguf:latest,no,no,no,ollama:mistral:instruct,ollama:mistral:instruct,budget-first routing active node_role=control
