clip_id,post_text,media_path,platform,account,scheduled_time,viral_score,caption
40ecfc09bb,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-02-13/40ecfc09bb.md,tiktok,@printmaxxer,2026-04-16T09:00:00,,
cef49c6984,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/cef49c6984.md,tiktok,@printmaxxer,2026-04-16T12:00:00,,
246d779c53,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/246d779c53.md,tiktok,@printmaxxer,2026-04-16T17:00:00,,
e8706a9782,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/e8706a9782.md,tiktok,@printmaxxer,2026-04-16T19:00:00,,
e7b35eea6f,Check this out,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/e7b35eea6f.md,twitter,@printmaxxer,2026-04-16T08:00:00,,
3410f02249,Check this out,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/3410f02249.md,twitter,@printmaxxer,2026-04-16T12:00:00,,
af40171a7b,Check this out,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/af40171a7b.md,twitter,@printmaxxer,2026-04-16T17:00:00,,
be2bfc83db,Check this out,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/be2bfc83db.md,twitter,@printmaxxer,2026-04-16T21:00:00,,
6810d7a399,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/6810d7a399.md,tiktok,@printmaxxer,2026-04-17T09:00:00,,
014e6f2192,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/014e6f2192.md,tiktok,@printmaxxer,2026-04-17T12:00:00,,
77aa5a57c1,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/77aa5a57c1.md,tiktok,@printmaxxer,2026-04-17T17:00:00,,
8a2b68e022,"Check this out

#viral #fyp #trending #shorts",AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/8a2b68e022.md,tiktok,@printmaxxer,2026-04-17T19:00:00,,
c2cf4d6600,Check this out,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/c2cf4d6600.md,twitter,@printmaxxer,2026-04-17T08:00:00,,
6a9ad54002,Check this out,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/6a9ad54002.md,twitter,@printmaxxer,2026-04-17T12:00:00,,
f1a52dde2c,Check this out,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/f1a52dde2c.md,twitter,@printmaxxer,2026-04-17T17:00:00,,
